round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3
0.0,0.09859930723905563,2.3074018955230713,0.0,0.0,0.0,0.0
1.0,"(0.26880156993865967, tensor(2.0978, device='cuda:0'))",0.9006026387214661,0.9098024368286133,0.9111016988754272,0.9160023331642151,
2.0,"(0.832102358341217, tensor(0.6685, device='cuda:0'))",0.9144017100334167,0.9115025997161865,0.9086024165153503,0.9080028533935547,
3.0,"(0.8570023775100708, tensor(0.4274, device='cuda:0'))",0.921302080154419,0.9268018007278442,0.9209029078483582,0.9180026054382324,
4.0,"(0.9405020475387573, tensor(0.2309, device='cuda:0'))",0.9324020147323608,0.9329021573066711,0.9202021956443787,0.935401976108551,
5.0,"(0.950801432132721, tensor(0.2061, device='cuda:0'))",0.9388018250465393,0.9441020488739014,0.9352020621299744,0.9358019828796387,
6.0,"(0.9507016539573669, tensor(0.2028, device='cuda:0'))",0.9348019361495972,0.937301754951477,0.9396020174026489,0.9343028664588928,
7.0,"(0.9508011341094971, tensor(0.2085, device='cuda:0'))",0.9264029860496521,0.9289025068283081,0.9418017864227295,0.9384022951126099,
8.0,"(0.9586014151573181, tensor(0.1863, device='cuda:0'))",0.9335023164749146,0.9488017559051514,0.9416021704673767,0.9414017796516418,
9.0,"(0.9571012258529663, tensor(0.1977, device='cuda:0'))",0.9460020661354065,0.938001811504364,0.9484013915061951,0.9452016949653625,
