round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.1119,2.3023994140625,0.0,0.0,0.0,0.0,0.0
1.0,0.2924,2.120208984375,0.8984,0.1973,0.9089,0.1949,0.9134
2.0,0.6193,1.120269775390625,0.1942,0.9135,0.9209,0.9036,0.8907
3.0,0.1824,5.39727490234375,0.9265,0.1948,0.1891,0.9112,0.1962
4.0,0.835,0.6774378662109375,0.9054,0.9085,0.9196,0.931,0.9203
5.0,0.222,2.918051025390625,0.9263,0.9332,0.1953,0.1949,0.9248
6.0,0.5778,1.1334752197265625,0.1926,0.1944,0.938,0.9268,0.9314
7.0,0.9503,0.21661061096191409,0.9388,0.9418,0.9448,0.933,0.9375
8.0,0.5754,1.2114625244140624,0.9442,0.19,0.1919,0.9409,0.9372
9.0,0.9014,0.3149455871582031,0.9465,0.943,0.9392,0.1936,0.9426
10.0,0.4738,1.993358154296875,0.9422,0.191,0.1912,0.9408,0.9378
11.0,0.9586,0.18808448791503907,0.9391,0.9523,0.9367,0.9506,0.1906
12.0,0.9571,0.20365545654296877,0.9412,0.951,0.1936,0.9477,0.9439
13.0,0.9578,0.20097515869140625,0.9447,0.1943,0.9444,0.9383,0.9407
14.0,0.9581,0.19634397888183594,0.9405,0.9455,0.9432,0.1952,0.943
15.0,0.9596,0.20420309448242188,0.9469,0.9472,0.9425,0.1875,0.9535
16.0,0.195,9.142765625,0.9513,0.1925,0.1998,0.9486,0.1868
17.0,0.9603,0.19256991577148438,0.9485,0.952,0.9508,0.9528,0.1936
18.0,0.3094,2.6469941406250004,0.939,0.9521,0.1901,0.1931,0.1887
19.0,0.9606,0.19854663085937502,0.1909,0.9533,0.952,0.1958,0.951
