round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4,local_acc5,local_acc6,local_acc7,local_acc8,local_acc9
0.0,0.133,2.3031889648437502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2063,2.222361083984375,0.796,0.0091,0.8316,0.8708,0.7844,0.8788,0.8464,0.809,0.8584,0.8305
2.0,0.8427,0.6503994750976562,0.8146,0.0198,0.7977,0.8544,0.8628,0.2472,0.8554,0.8372,0.1001,0.8462
3.0,0.8663,0.4925366516113281,0.8636,0.8434,0.0202,0.8308,0.8657,0.8763,0.8855,0.3036,0.8411,0.8745
4.0,0.8617,0.47360958862304686,0.8303,0.1443,0.8755,0.031,0.892,0.8565,0.4758,0.1857,0.8864,0.8777
5.0,0.7778,0.8374090576171875,0.8319,0.8202,0.0134,0.8488,0.8839,0.1961,0.8655,0.8693,0.8548,0.0229
6.0,0.8654,0.4391897277832031,0.1228,0.0133,0.8757,0.8513,0.8863,0.8834,0.8858,0.8802,0.8482,0.8668
7.0,0.7215,1.0672955322265625,0.9116,0.9041,0.0319,0.9088,0.0165,0.3124,0.8941,0.017,0.9061,0.2693
8.0,0.9272,0.2811338195800781,0.8861,0.8994,0.8845,0.9045,0.8865,0.8863,0.8857,0.8808,0.8978,0.8892
9.0,0.9002,0.356878662109375,0.4797,0.9087,0.9132,0.9153,0.8756,0.8952,0.1012,0.8981,0.9108,0.8814
10.0,0.4108,1.413659423828125,0.918,0.0969,0.8826,0.8958,0.1045,0.9088,0.196,0.0212,0.85,0.0123
11.0,0.8673,0.5078766174316406,0.9051,0.024,0.9046,0.878,0.0125,0.8957,0.8932,0.9009,0.3051,0.8868
12.0,0.9082,0.3320026245117187,0.9021,0.0123,0.9036,0.8876,0.9176,0.9114,0.8749,0.9082,0.0081,0.2324
13.0,0.9217,0.28569305419921875,0.9038,0.8913,0.9141,0.9155,0.9034,0.881,0.8765,0.9013,0.0125,0.9196
14.0,0.8739,0.42735293579101563,0.9228,0.9027,0.9071,0.9106,0.1855,0.8906,0.0116,0.904,0.9032,0.9187
15.0,0.9186,0.3017665710449219,0.9034,0.909,0.911,0.9111,0.4696,0.9092,0.8987,0.908,0.0179,0.9085
16.0,0.3915,2.195788330078125,0.474,0.1798,0.0127,0.9122,0.9278,0.0122,0.0856,0.8972,0.9014,0.0139
17.0,0.9203,0.3236571350097656,0.1071,0.8953,0.9132,0.9059,0.8995,0.9179,0.9093,0.9074,0.9222,0.917
18.0,0.904,0.36579803466796873,0.9222,0.9136,0.9247,0.9177,0.9154,0.0204,0.1002,0.9222,0.9168,0.8858
19.0,0.9095,0.36808950805664065,0.0172,0.905,0.9236,0.883,0.1354,0.8967,0.9186,0.9186,0.9242,0.0167
