round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.1221,2.296829833984375,0.0,0.0,0.0,0.0,0.0
1.0,0.2433,2.1827055664062502,0.9119,0.9315,0.9107,0.9173,0.9051
2.0,0.672,1.0438131103515624,0.9106,0.9054,0.9202,0.9076,0.9055
3.0,0.8641,0.48369842529296875,0.9127,0.9198,0.908,0.9126,0.9187
4.0,0.9215,0.29285818481445314,0.9226,0.9272,0.928,0.9285,0.9246
5.0,0.9387,0.2424776611328125,0.9379,0.9219,0.9306,0.9329,0.9286
6.0,0.9439,0.23210862731933593,0.9322,0.914,0.9354,0.9337,0.9322
7.0,0.9429,0.24697134399414064,0.9368,0.9282,0.9358,0.9268,0.9248
8.0,0.9498,0.22171116638183594,0.9387,0.9345,0.9069,0.9259,0.9325
9.0,0.9555,0.21855821228027345,0.9435,0.9381,0.912,0.9334,0.9426
10.0,0.9552,0.22174705505371095,0.9386,0.9465,0.9394,0.9452,0.9371
11.0,0.9584,0.22949420166015627,0.942,0.9478,0.9492,0.9474,0.9312
12.0,0.9553,0.22052641296386719,0.943,0.9413,0.9434,0.9285,0.9429
13.0,0.956,0.23826028442382813,0.9263,0.9453,0.9443,0.9425,0.9542
14.0,0.959,0.22821224975585935,0.9458,0.9483,0.9468,0.9473,0.9468
15.0,0.9582,0.23112521362304686,0.9354,0.9475,0.9506,0.946,0.9477
16.0,0.9584,0.25818988037109375,0.9471,0.9447,0.9511,0.941,0.9519
17.0,0.9582,0.27234887695312504,0.9494,0.9441,0.9489,0.9356,0.9387
18.0,0.9594,0.28770779418945314,0.9525,0.9461,0.9521,0.9346,0.9412
19.0,0.9593,0.2556952667236328,0.9499,0.9442,0.9474,0.9452,0.9418
