round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.097,2.305656982421875,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.303764404296875,0.9344,0.1135,0.1028,0.1032,0.0076
2.0,0.1135,2.300211181640625,0.0974,0.0072,0.9155,0.101,0.1135
3.0,0.9326,0.3068407897949219,0.9489,0.9356,0.9305,0.9255,0.007
4.0,0.9573,0.1488298797607422,0.9296,0.9204,0.9392,0.9563,0.0089
5.0,0.9519,0.18028334045410155,0.0077,0.9436,0.9381,0.9406,0.9438
6.0,0.9504,0.1736036376953125,0.949,0.0119,0.9553,0.9285,0.9521
7.0,0.9695,0.11404210662841796,0.9472,0.9536,0.9578,0.9448,0.9487
8.0,0.9591,0.1377066955566406,0.9472,0.9374,0.0082,0.9414,0.9405
9.0,0.9688,0.1121628646850586,0.9477,0.9525,0.9429,0.9485,0.9535
10.0,0.9654,0.12153308868408202,0.0128,0.9422,0.9573,0.9466,0.9541
11.0,0.9686,0.11315113067626953,0.9534,0.9607,0.9616,0.0106,0.94
12.0,0.9659,0.12200193786621094,0.9515,0.9277,0.0131,0.9417,0.9564
13.0,0.9639,0.1308115692138672,0.9581,0.9444,0.9535,0.9406,0.0091
14.0,0.9637,0.12875906372070314,0.9519,0.9419,0.0093,0.9576,0.9621
15.0,0.9724,0.11762423706054688,0.9527,0.9631,0.9517,0.9387,0.9599
16.0,0.9692,0.11937643432617188,0.9556,0.9478,0.0112,0.9582,0.9582
17.0,0.9694,0.11870496368408202,0.9513,0.9567,0.0092,0.9517,0.9605
18.0,0.9691,0.11915975952148437,0.9538,0.9587,0.9522,0.9487,0.0145
19.0,0.9118,0.3586996459960937,0.0084,0.9547,0.9481,0.9576,0.0054
20.0,0.9735,0.10775772857666016,0.0079,0.9519,0.9565,0.9631,0.951
21.0,0.9704,0.12084362792968749,0.9547,0.9537,0.9509,0.9584,0.9465
22.0,0.9686,0.12069667053222656,0.9549,0.9469,0.9593,0.0123,0.9584
23.0,0.9707,0.129243896484375,0.9519,0.9584,0.9474,0.9336,0.9468
24.0,0.9688,0.12201534271240236,0.946,0.9642,0.96,0.9523,0.0106
25.0,0.9144,0.4354252319335938,0.0187,0.9638,0.9617,0.0063,0.9523
26.0,0.9713,0.11374676513671875,0.9624,0.955,0.9567,0.0083,0.9623
27.0,0.97,0.127901123046875,0.0074,0.9487,0.9492,0.9636,0.9585
28.0,0.9694,0.11840416717529298,0.9634,0.9634,0.9502,0.0055,0.96
29.0,0.9687,0.13104675292968748,0.943,0.0069,0.9525,0.9549,0.9628
30.0,0.9687,0.13594555664062502,0.953,0.9631,0.9335,0.9424,0.9495
31.0,0.9715,0.1254539337158203,0.0103,0.9634,0.9604,0.9617,0.9558
32.0,0.9717,0.13364689636230467,0.0127,0.9568,0.9605,0.9454,0.9606
33.0,0.9351,0.28153274536132816,0.9621,0.9236,0.0072,0.9598,0.0085
34.0,0.9737,0.14088587951660156,0.9626,0.9602,0.9583,0.9583,0.961
35.0,0.9619,0.15225341796875,0.9297,0.9583,0.9523,0.9426,0.0067
36.0,0.9112,0.3442811584472656,0.0191,0.9618,0.9597,0.9545,0.0087
37.0,0.9695,0.1491755828857422,0.9585,0.0104,0.9554,0.9538,0.9571
38.0,0.9671,0.14096461486816406,0.9595,0.9436,0.9572,0.9559,0.0111
39.0,0.9663,0.14433193969726563,0.9574,0.9455,0.9642,0.008,0.9655
40.0,0.9699,0.1383922119140625,0.9554,0.9557,0.9489,0.9615,0.0097
41.0,0.9744,0.14471505737304688,0.9625,0.9611,0.9587,0.9673,0.9586
42.0,0.9714,0.14945079040527343,0.9569,0.9541,0.955,0.9615,0.9588
43.0,0.974,0.14052076721191406,0.9352,0.9515,0.9648,0.9598,0.9582
44.0,0.9732,0.13124815368652346,0.9646,0.9582,0.9648,0.9619,0.9674
45.0,0.9705,0.13817176818847657,0.9632,0.9651,0.9554,0.9498,0.0065
46.0,0.9697,0.15074127197265624,0.955,0.0103,0.959,0.9588,0.945
47.0,0.9689,0.1378306121826172,0.0104,0.9645,0.9614,0.9578,0.9678
48.0,0.9659,0.14227320861816406,0.9638,0.9538,0.955,0.9497,0.0151
49.0,0.9728,0.12961666870117186,0.9538,0.9503,0.967,0.9484,0.0084
50.0,0.9162,0.33319998168945314,0.9655,0.9577,0.015,0.9484,0.0086
51.0,0.971,0.14624914550781248,0.949,0.0052,0.9608,0.9604,0.952
52.0,0.9235,0.3158768310546875,0.9531,0.9573,0.0104,0.0085,0.954
53.0,0.9719,0.1453317108154297,0.9693,0.9481,0.9496,0.9546,0.959
54.0,0.9705,0.12912490844726562,0.0101,0.9588,0.9605,0.9601,0.9577
55.0,0.9499,0.20373912048339843,0.0097,0.9559,0.9601,0.9432,0.0077
56.0,0.9691,0.16771331787109375,0.9598,0.9653,0.0101,0.9603,0.9631
57.0,0.9107,0.33904669189453124,0.9629,0.0087,0.9494,0.0084,0.9591
58.0,0.967,0.15539920043945313,0.0094,0.9611,0.0064,0.9618,0.9619
59.0,0.9506,0.20680134582519533,0.0086,0.9689,0.0078,0.9463,0.9551
60.0,0.9664,0.14798617553710938,0.9583,0.9623,0.9419,0.9519,0.9287
61.0,0.9708,0.14831423950195313,0.9515,0.0112,0.9564,0.9547,0.9422
62.0,0.971,0.15350901794433594,0.9549,0.9578,0.9563,0.9573,0.9634
63.0,0.8932,0.38616290283203125,0.0137,0.9643,0.0077,0.9619,0.9604
64.0,0.9726,0.17013058471679687,0.9652,0.959,0.008,0.9511,0.9652
65.0,0.9549,0.19702212524414062,0.0072,0.9055,0.0078,0.9502,0.9623
66.0,0.9744,0.16218421936035154,0.9601,0.9519,0.9558,0.9558,0.9645
67.0,0.9733,0.15900889587402345,0.9644,0.9575,0.9537,0.0053,0.9602
68.0,0.9685,0.15256631469726561,0.9591,0.0116,0.9658,0.9665,0.949
69.0,0.9691,0.15837310791015624,0.9577,0.9642,0.9628,0.9514,0.0092
70.0,0.9726,0.16607164001464841,0.9592,0.9633,0.96,0.9588,0.9405
71.0,0.9722,0.15728968811035154,0.9645,0.0093,0.9648,0.9554,0.9686
72.0,0.9692,0.13777638244628906,0.9569,0.9536,0.9607,0.0086,0.9623
