round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4
0.0,0.0922,2.300210205078125,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.30224169921875,0.9382,0.9344,0.1135,0.0078,0.0053
2.0,0.2399,2.238815185546875,0.0958,0.0089,0.9366,0.9231,0.9137
3.0,0.8832,0.6555244140625,0.9479,0.9418,0.946,0.921,0.0155
4.0,0.8965,0.46438842773437505,0.933,0.9359,0.9299,0.9484,0.0062
5.0,0.9372,0.22033631896972658,0.0068,0.9464,0.9415,0.952,0.9388
6.0,0.9167,0.3869811096191406,0.9436,0.0131,0.9581,0.9583,0.9503
7.0,0.9694,0.09648139190673827,0.9384,0.962,0.9533,0.9547,0.9607
8.0,0.936,0.2872082824707031,0.954,0.9534,0.0102,0.9469,0.9529
9.0,0.9706,0.09945793151855468,0.963,0.9604,0.9506,0.9573,0.9505
10.0,0.9178,0.29308993530273436,0.0179,0.9639,0.9543,0.958,0.9537
11.0,0.9413,0.20442025756835935,0.9595,0.9536,0.95,0.0072,0.953
12.0,0.918,0.30060443115234375,0.9616,0.9582,0.0105,0.9561,0.9501
13.0,0.9585,0.14771208190917967,0.9579,0.9513,0.965,0.9378,0.0066
14.0,0.9352,0.24311576843261717,0.9645,0.9633,0.0067,0.9634,0.9566
15.0,0.9747,0.0862555694580078,0.9584,0.964,0.9669,0.9544,0.9592
16.0,0.9016,0.36051739501953123,0.965,0.9382,0.0098,0.9615,0.963
17.0,0.9053,0.35676434326171874,0.9576,0.9538,0.0099,0.9591,0.9506
18.0,0.9449,0.18543534851074217,0.9489,0.9646,0.9482,0.9528,0.0085
19.0,0.6314,1.0393619384765624,0.0057,0.9658,0.9554,0.957,0.0068
20.0,0.9643,0.12462358856201172,0.0079,0.9391,0.9506,0.9605,0.9516
21.0,0.9759,0.09538900756835937,0.9581,0.955,0.9591,0.9493,0.9542
22.0,0.9416,0.22689541625976561,0.9585,0.9674,0.9502,0.0069,0.957
23.0,0.976,0.09423979187011719,0.9639,0.9661,0.9652,0.9636,0.9537
24.0,0.9362,0.2715462341308594,0.9577,0.9536,0.9511,0.9628,0.0091
25.0,0.7442,0.7949989624023437,0.0086,0.9596,0.9652,0.0072,0.9616
26.0,0.9573,0.14982778930664062,0.9517,0.9678,0.9406,0.006,0.9554
27.0,0.9339,0.2342015075683594,0.0028,0.9648,0.9561,0.9427,0.9623
28.0,0.9589,0.1461143798828125,0.9649,0.9559,0.9536,0.0058,0.9673
29.0,0.9558,0.15772993469238283,0.9575,0.0064,0.9612,0.9574,0.9648
30.0,0.9747,0.09409146118164062,0.9637,0.9581,0.9615,0.9594,0.9593
31.0,0.9389,0.243908447265625,0.0135,0.9564,0.961,0.9286,0.9489
32.0,0.9346,0.22738458251953125,0.0091,0.9676,0.9686,0.953,0.9672
33.0,0.7773,0.7622448120117188,0.9623,0.9587,0.0059,0.9542,0.0077
34.0,0.976,0.09530062866210937,0.9418,0.9545,0.9643,0.9627,0.9618
35.0,0.9419,0.21993373107910158,0.9675,0.956,0.9656,0.9551,0.0585
36.0,0.8914,0.4209352111816406,0.0089,0.9564,0.9527,0.9673,0.0116
37.0,0.9631,0.13505174255371094,0.9529,0.0046,0.9695,0.9635,0.943
38.0,0.9584,0.16264395141601562,0.9594,0.9642,0.9605,0.9606,0.0081
39.0,0.9594,0.16982875061035158,0.9662,0.955,0.9535,0.0085,0.9546
40.0,0.9617,0.14728302001953125,0.9521,0.9679,0.9564,0.967,0.0066
41.0,0.9767,0.0934106674194336,0.9655,0.9618,0.957,0.9637,0.9654
42.0,0.9793,0.09467464447021484,0.9567,0.9612,0.9674,0.9608,0.9671
43.0,0.9763,0.09557855987548827,0.9604,0.9623,0.9506,0.9598,0.9697
44.0,0.9771,0.09858082580566406,0.9662,0.9632,0.9622,0.9595,0.9664
45.0,0.8951,0.3773037414550781,0.9599,0.9552,0.9688,0.9571,0.0262
46.0,0.9658,0.1338156280517578,0.9585,0.0073,0.9697,0.9615,0.9626
47.0,0.9393,0.2179832763671875,0.0113,0.9653,0.958,0.9642,0.9701
48.0,0.941,0.20985527038574217,0.9619,0.9631,0.9474,0.9681,0.0151
