round,global_acc,global_loss,local_acc0,local_acc1,local_acc2,local_acc3,local_acc4,local_acc5,local_acc6,local_acc7,local_acc8,local_acc9
0.0,0.042,2.3015017089843752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1135,2.301761962890625,0.101,0.1032,0.0289,0.87,0.8339,0.7995,0.098,0.775,0.8292,0.1028
2.0,0.8312,1.1542349853515625,0.101,0.1216,0.0892,0.8727,0.1135,0.8259,0.8531,0.1028,0.8665,0.887
3.0,0.9393,0.1934158172607422,0.1186,0.1795,0.012,0.8872,0.8528,0.8731,0.8847,0.8882,0.8793,0.9079
4.0,0.949,0.16337989807128905,0.0042,0.0117,0.0096,0.8882,0.902,0.9027,0.897,0.9211,0.8991,0.9151
5.0,0.9599,0.14250474548339842,0.0085,0.1877,0.0102,0.9321,0.9214,0.9184,0.9065,0.9426,0.9373,0.9152
6.0,0.961,0.14585688781738282,0.1028,0.0208,0.1008,0.9348,0.925,0.9451,0.9233,0.9098,0.9144,0.8743
7.0,0.9609,0.13729318237304688,0.1135,0.0758,0.0305,0.8958,0.9283,0.9266,0.9399,0.9056,0.9446,0.9251
8.0,0.9628,0.1396471405029297,0.1028,0.0141,0.0792,0.9282,0.9411,0.9417,0.9375,0.9243,0.9013,0.9252
9.0,0.9619,0.13913577270507813,0.1028,0.1046,0.1358,0.929,0.9525,0.9366,0.9234,0.9093,0.9413,0.9242
10.0,0.961,0.13558236694335937,0.1032,0.0316,0.1168,0.9142,0.9236,0.9282,0.9294,0.9474,0.943,0.9299
11.0,0.9606,0.15013401794433595,0.1029,0.2321,0.0974,0.9187,0.9381,0.9497,0.9457,0.9427,0.9003,0.923
12.0,0.9602,0.1478785400390625,0.0892,0.1032,0.1028,0.9246,0.945,0.9038,0.9313,0.9359,0.9419,0.9347
13.0,0.9595,0.15577838134765626,0.101,0.1028,0.1324,0.9424,0.9344,0.9465,0.9077,0.9426,0.941,0.9147
14.0,0.9604,0.1461506652832031,0.1391,0.101,0.1028,0.9302,0.937,0.9134,0.911,0.9511,0.9115,0.9237
15.0,0.9591,0.15482447814941405,0.0693,0.1141,0.0974,0.9271,0.9456,0.9406,0.9231,0.9115,0.931,0.9357
16.0,0.9637,0.13635792541503908,0.1752,0.0298,0.1467,0.95,0.9432,0.9443,0.9422,0.9185,0.9092,0.9497
17.0,0.9628,0.1514672546386719,0.1379,0.1033,0.0306,0.9295,0.9503,0.941,0.9264,0.9552,0.9374,0.9285
18.0,0.9631,0.1373185272216797,0.0448,0.1473,0.1358,0.9488,0.944,0.9393,0.921,0.9435,0.9543,0.942
19.0,0.9662,0.13353781127929687,0.0766,0.0262,0.182,0.944,0.9591,0.939,0.9426,0.9535,0.9463,0.9531
20.0,0.9617,0.15587850952148435,0.1336,0.0461,0.0429,0.9271,0.9406,0.9366,0.9432,0.9174,0.9236,0.9326
21.0,0.9655,0.12948391723632813,0.0553,0.0651,0.0359,0.948,0.9513,0.9466,0.9335,0.9585,0.9509,0.9466
22.0,0.9662,0.14498141479492188,0.1447,0.1956,0.1148,0.9578,0.9554,0.9557,0.9412,0.9468,0.9447,0.9394
23.0,0.965,0.1510735321044922,0.1032,0.2081,0.1017,0.9454,0.9603,0.9208,0.9364,0.9439,0.9568,0.9356
24.0,0.9675,0.13096011352539064,0.0418,0.0432,0.1507,0.9107,0.9366,0.9473,0.954,0.9441,0.9523,0.9554
25.0,0.9663,0.14404464721679688,0.0213,0.1754,0.053,0.9471,0.9528,0.962,0.9457,0.9548,0.9382,0.9581
26.0,0.9642,0.15340737915039063,0.1386,0.0389,0.1718,0.9578,0.95,0.9564,0.9357,0.9495,0.9056,0.925
27.0,0.9672,0.14794577026367187,0.1005,0.0509,0.1374,0.9579,0.9582,0.9242,0.944,0.9627,0.9511,0.9219
28.0,0.9655,0.1372849578857422,0.1478,0.022,0.0302,0.9143,0.9357,0.9288,0.9293,0.9402,0.9562,0.9372
29.0,0.9663,0.16027407836914062,0.0653,0.0354,0.1897,0.9468,0.9672,0.9314,0.9468,0.936,0.9195,0.9457
30.0,0.9648,0.1508566436767578,0.0369,0.0804,0.1102,0.9188,0.9588,0.9476,0.9379,0.9567,0.939,0.94
31.0,0.967,0.15361076354980469,0.0998,0.0817,0.0747,0.963,0.9548,0.9526,0.9512,0.9548,0.9611,0.9604
32.0,0.965,0.14433416748046876,0.0462,0.1616,0.0905,0.9492,0.9522,0.9544,0.9512,0.9343,0.9438,0.923
33.0,0.9636,0.14467218017578126,0.134,0.0479,0.0242,0.9361,0.9471,0.9592,0.9549,0.9436,0.944,0.9551
34.0,0.967,0.13514454650878907,0.0987,0.0643,0.066,0.9503,0.9488,0.9565,0.9565,0.9537,0.9221,0.9385
35.0,0.9706,0.14569102478027343,0.1947,0.0412,0.1161,0.9518,0.9648,0.9489,0.9636,0.948,0.9519,0.9531
36.0,0.967,0.13463043212890624,0.1449,0.0707,0.0408,0.9396,0.9431,0.9516,0.9436,0.9633,0.946,0.9592
37.0,0.9656,0.14992303466796875,0.0412,0.0774,0.0614,0.9557,0.9625,0.9502,0.9348,0.9447,0.9488,0.9489
38.0,0.9671,0.14365748596191408,0.0768,0.0768,0.0342,0.9613,0.9604,0.9489,0.9349,0.9617,0.948,0.9174
39.0,0.968,0.12597926330566406,0.094,0.0588,0.0653,0.9489,0.9654,0.9602,0.9564,0.9646,0.9658,0.9572
40.0,0.9693,0.13065769958496093,0.0706,0.0716,0.1697,0.9648,0.9567,0.9611,0.9379,0.9517,0.96,0.9617
41.0,0.9684,0.12142153167724609,0.112,0.1833,0.0797,0.9629,0.9629,0.9526,0.9454,0.9605,0.9602,0.9598
42.0,0.9663,0.13299398803710938,0.0424,0.0805,0.1243,0.9647,0.9634,0.96,0.9435,0.9283,0.9651,0.913
43.0,0.9694,0.15513851928710937,0.1415,0.2251,0.0328,0.968,0.9642,0.9608,0.9535,0.9258,0.9448,0.9506
44.0,0.9694,0.1311879425048828,0.1705,0.061,0.069,0.9574,0.9601,0.9563,0.964,0.9583,0.9649,0.9585
45.0,0.9708,0.15350437927246094,0.2062,0.0673,0.1884,0.959,0.9582,0.9601,0.9688,0.964,0.9497,0.9614
46.0,0.967,0.13964004516601564,0.0741,0.0658,0.1741,0.9396,0.9593,0.9443,0.9516,0.967,0.962,0.9541
47.0,0.9688,0.14078521728515625,0.0954,0.0492,0.1584,0.9672,0.9609,0.9448,0.9593,0.9548,0.9536,0.9621
48.0,0.9676,0.1400186767578125,0.0786,0.2057,0.0387,0.9378,0.9509,0.9587,0.9649,0.9001,0.9659,0.9516
49.0,0.9691,0.13398837280273437,0.047,0.0528,0.1808,0.9577,0.9483,0.9566,0.9605,0.9601,0.9629,0.9586
