round 1 ,accuracy = 0.10100001096725464
round 2 ,accuracy = 0.08919999748468399
round 3 ,accuracy = 0.10319998860359192
round 4 ,accuracy = 0.21859996020793915
round 5 ,accuracy = 0.37029996514320374
round 6 ,accuracy = 0.3863999545574188
round 7 ,accuracy = 0.4994000494480133
round 8 ,accuracy = 0.41400009393692017
round 9 ,accuracy = 0.5635000467300415
round 10 ,accuracy = 0.6837000250816345
round 11 ,accuracy = 0.7070000171661377
round 12 ,accuracy = 0.7303000688552856
round 13 ,accuracy = 0.8401002287864685
round 14 ,accuracy = 0.6775999069213867
round 15 ,accuracy = 0.5843999981880188
round 16 ,accuracy = 0.7709000110626221
round 17 ,accuracy = 0.7498999834060669
round 18 ,accuracy = 0.8747999668121338
round 19 ,accuracy = 0.872400164604187
round 20 ,accuracy = 0.7870998978614807
round 21 ,accuracy = 0.7364001274108887
round 22 ,accuracy = 0.906399667263031
round 23 ,accuracy = 0.8547999262809753
round 24 ,accuracy = 0.8712000846862793
round 25 ,accuracy = 0.8753998875617981
round 26 ,accuracy = 0.8255999088287354
round 27 ,accuracy = 0.8894999027252197
round 28 ,accuracy = 0.8824000954627991
round 29 ,accuracy = 0.8027995824813843
round 30 ,accuracy = 0.8410999774932861
round 31 ,accuracy = 0.8931999802589417
round 32 ,accuracy = 0.9230000972747803
round 33 ,accuracy = 0.8948001861572266
round 34 ,accuracy = 0.9003997445106506
round 35 ,accuracy = 0.8614996671676636
round 36 ,accuracy = 0.7759000062942505
round 37 ,accuracy = 0.8710000514984131
round 38 ,accuracy = 0.8786999583244324
round 39 ,accuracy = 0.8662000298500061
round 40 ,accuracy = 0.9048998951911926
round 41 ,accuracy = 0.7969000935554504
round 42 ,accuracy = 0.8607998490333557
round 43 ,accuracy = 0.8865998387336731
round 44 ,accuracy = 0.8674997687339783
round 45 ,accuracy = 0.8783000707626343
round 46 ,accuracy = 0.8357002139091492
round 47 ,accuracy = 0.8065997958183289
round 48 ,accuracy = 0.8885000944137573
